date,price
16/01/2007,630.352
16/02/2007,665.103
16/03/2007,655.891
16/04/2007,680.008
16/05/2007,668.31
16/06/2007,655.714
16/07/2007,665.266
16/08/2007,664.53
16/09/2007,710.645
16/10/2007,754.48
16/11/2007,808.311
16/12/2007,803.618
16/01/2008,887.784
16/02/2008,924.283
16/03/2008,971.055
16/04/2008,911.6
16/05/2008,889.125
16/06/2008,889.536
16/07/2008,941.167
16/08/2008,840.388
16/09/2008,824.92
16/10/2008,812.815
16/11/2008,757.85
16/12/2008,819.94
16/01/2009,857.726
16/02/2009,939.763
16/03/2009,925.989
16/04/2009,892.663
16/05/2009,926.855
16/06/2009,947.807
16/07/2009,934.272
16/08/2009,949.5
16/09/2009,996.443
16/10/2009,1043.511
16/11/2009,1126.119
16/12/2009,1135.012
16/01/2010,1119.575
16/02/2010,1095.8
16/03/2010,1115.554
16/04/2010,1148.475
16/05/2010,1204.321
16/06/2010,1232.382
16/07/2010,1196
16/08/2010,1213.464
16/09/2010,1271.461
16/10/2010,1343.19
16/11/2010,1371.784
16/12/2010,1393.512
16/01/2011,1360.475
16/02/2011,1371.313
16/03/2011,1422.848
16/04/2011,1474.431
16/05/2011,1512.188
16/06/2011,1528.38
16/07/2011,1568.526
16/08/2011,1759.5
16/09/2011,1780.648
16/10/2011,1667.893
16/11/2011,1735.977
16/12/2011,1652.725
16/01/2012,1656.095
16/02/2012,1743.095
16/03/2012,1675.057
16/04/2012,1648.539
16/05/2012,1585.114
16/06/2012,1595.632
16/07/2012,1592.784
16/08/2012,1625.682
16/09/2012,1741.925
16/10/2012,1746.348
16/11/2012,1724.352
16/12/2012,1687.342
16/01/2013,1671.886
16/02/2013,1630.688
16/03/2013,1591.013
16/04/2013,1485.905
16/05/2013,1416.143
16/06/2013,1342.7
16/07/2013,1284.348
16/08/2013,1345.048
16/09/2013,1348.464
16/10/2013,1314.402
16/11/2013,1277.417
16/12/2013,1221.588
16/01/2014,1243.068
16/02/2014,1298.713
16/03/2014,1336.56
16/04/2014,1299.175
16/05/2014,1288.913
16/06/2014,1277.857
16/07/2014,1312.989
16/08/2014,1297.005
16/09/2014,1241.33
16/10/2014,1223.565
16/11/2014,1176.413
16/12/2014,1200.44
16/01/2015,1249.333
16/02/2015,1231.1
16/03/2015,1180.636
16/04/2015,1198.253
16/05/2015,1197.684
16/06/2015,1182.248
16/07/2015,1131.58
16/08/2015,1117.525
16/09/2015,1124.905
16/10/2015,1157.123
16/11/2015,1088.388
16/12/2015,1068.317
16/01/2016,1095.655
16/02/2016,1194.893
16/03/2016,1246.312
16/04/2016,1241.452
16/05/2016,1259.755
16/06/2016,1273.58
16/07/2016,1337.429
16/08/2016,1340.861
16/09/2016,1326.618
16/10/2016,1268.929
16/11/2016,1240.293
16/12/2016,1152.165
16/01/2017,1192.648
16/02/2017,1233.39
16/03/2017,1231.063
16/04/2017,1267.15
16/05/2017,1245.25
16/06/2017,1261.277
16/07/2017,1235.1
16/08/2017,1281.72
16/09/2017,1317.045
16/10/2017,1280.677
16/11/2017,1283.189
16/12/2017,1265.674
16/01/2018,1332.809
16/02/2018,1333.775
16/03/2018,1325.562
16/04/2018,1335.332
16/05/2018,1303.618
16/06/2018,1282.126
16/07/2018,1238.064
16/08/2018,1201.859
