Date,Brent Spot Price
19/01/2007,53.68
19/02/2007,57.56
19/03/2007,62.05
19/04/2007,67.49
19/05/2007,67.21
19/06/2007,71.05
19/07/2007,76.93
19/08/2007,70.76
19/09/2007,77.17
19/10/2007,82.34
19/11/2007,92.41
19/12/2007,90.93
19/01/2008,92.18
19/02/2008,94.99
19/03/2008,103.64
19/04/2008,109.07
19/05/2008,122.8
19/06/2008,132.32
19/07/2008,132.72
19/08/2008,113.24
19/09/2008,97.23
19/10/2008,71.58
19/11/2008,52.45
19/12/2008,39.95
19/01/2009,43.44
19/02/2009,43.32
19/03/2009,46.54
19/04/2009,50.18
19/05/2009,57.3
19/06/2009,68.61
19/07/2009,64.44
19/08/2009,72.51
19/09/2009,67.65
19/10/2009,72.77
19/11/2009,76.66
19/12/2009,74.46
19/01/2010,76.17
19/02/2010,73.75
19/03/2010,78.83
19/04/2010,84.82
19/05/2010,75.95
19/06/2010,74.76
19/07/2010,75.58
19/08/2010,77.04
19/09/2010,77.84
19/10/2010,82.67
19/11/2010,85.28
19/12/2010,91.45
19/01/2011,96.52
19/02/2011,103.72
19/03/2011,114.64
19/04/2011,123.26
19/05/2011,114.99
19/06/2011,113.83
19/07/2011,116.97
19/08/2011,110.22
19/09/2011,112.83
19/10/2011,109.55
19/11/2011,110.77
19/12/2011,107.87
19/01/2012,110.69
19/02/2012,119.33
19/03/2012,125.45
19/04/2012,119.75
19/05/2012,110.34
19/06/2012,95.16
19/07/2012,102.62
19/08/2012,113.36
19/09/2012,112.86
19/10/2012,111.71
19/11/2012,109.06
19/12/2012,109.49
19/01/2013,112.96
19/02/2013,116.05
19/03/2013,108.47
19/04/2013,102.25
19/05/2013,102.56
19/06/2013,102.92
19/07/2013,107.93
19/08/2013,111.28
19/09/2013,111.6
19/10/2013,109.08
19/11/2013,107.79
19/12/2013,110.76
19/01/2014,108.12
19/02/2014,108.9
19/03/2014,107.48
19/04/2014,107.76
19/05/2014,109.54
19/06/2014,111.8
19/07/2014,106.77
19/08/2014,101.61
19/09/2014,97.09
19/10/2014,87.43
19/11/2014,79.44
19/12/2014,62.34
19/01/2015,47.76
19/02/2015,58.1
19/03/2015,55.89
19/04/2015,59.52
19/05/2015,64.08
19/06/2015,61.48
19/07/2015,56.56
19/08/2015,46.52
19/09/2015,47.62
19/10/2015,48.43
19/11/2015,44.27
19/12/2015,38.01
19/01/2016,30.7
19/02/2016,32.18
19/03/2016,38.21
19/04/2016,41.58
19/05/2016,46.74
19/06/2016,48.25
19/07/2016,44.95
19/08/2016,45.84
19/09/2016,46.57
19/10/2016,49.52
19/11/2016,44.73
19/12/2016,53.31
19/01/2017,54.58
19/02/2017,54.87
19/03/2017,51.59
19/04/2017,52.31
19/05/2017,50.33
19/06/2017,46.37
19/07/2017,48.48
19/08/2017,51.7
19/09/2017,56.15
19/10/2017,57.51
19/11/2017,62.71
19/12/2017,64.37
19/01/2018,69.08
19/02/2018,65.32
19/03/2018,66.02
19/04/2018,72.11
19/05/2018,76.98
19/06/2018,74.41
19/07/2018,74.25
19/08/2018,72.53
