Month,amazon: (United States)
2004-01,11
2004-02,9
2004-03,10
2004-04,10
2004-05,10
2004-06,11
2004-07,11
2004-08,12
2004-09,12
2004-10,12
2004-11,15
2004-12,21
2005-01,14
2005-02,13
2005-03,12
2005-04,11
2005-05,12
2005-06,14
2005-07,14
2005-08,14
2005-09,13
2005-10,13
2005-11,18
2005-12,24
2006-01,16
2006-02,14
2006-03,13
2006-04,13
2006-05,13
2006-06,15
2006-07,15
2006-08,16
2006-09,16
2006-10,14
2006-11,20
2006-12,27
2007-01,17
2007-02,15
2007-03,14
2007-04,14
2007-05,14
2007-06,15
2007-07,16
2007-08,16
2007-09,16
2007-10,15
2007-11,22
2007-12,28
2008-01,17
2008-02,15
2008-03,15
2008-04,14
2008-05,15
2008-06,17
2008-07,15
2008-08,18
2008-09,19
2008-10,18
2008-11,24
2008-12,36
2009-01,23
2009-02,20
2009-03,19
2009-04,18
2009-05,18
2009-06,18
2009-07,19
2009-08,20
2009-09,19
2009-10,19
2009-11,28
2009-12,37
2010-01,23
2010-02,20
2010-03,19
2010-04,18
2010-05,19
2010-06,20
2010-07,19
2010-08,21
2010-09,22
2010-10,23
2010-11,35
2010-12,46
2011-01,35
2011-02,32
2011-03,30
2011-04,30
2011-05,31
2011-06,33
2011-07,34
2011-08,38
2011-09,39
2011-10,39
2011-11,58
2011-12,71
2012-01,50
2012-02,45
2012-03,46
2012-04,45
2012-05,45
2012-06,47
2012-07,48
2012-08,51
2012-09,51
2012-10,50
2012-11,76
2012-12,88
2013-01,62
2013-02,55
2013-03,56
2013-04,53
2013-05,55
2013-06,58
2013-07,61
2013-08,64
2013-09,59
2013-10,56
2013-11,72
2013-12,98
2014-01,61
2014-02,57
2014-03,57
2014-04,55
2014-05,54
2014-06,57
2014-07,57
2014-08,61
2014-09,58
2014-10,58
2014-11,79
2014-12,95
2015-01,65
2015-02,60
2015-03,59
2015-04,57
2015-05,58
2015-06,62
2015-07,69
2015-08,69
2015-09,65
2015-10,66
2015-11,88
2015-12,100
2016-01,56
2016-02,54
2016-03,53
2016-04,52
2016-05,54
2016-06,55
2016-07,59
2016-08,59
2016-09,54
2016-10,55
2016-11,76
2016-12,87
2017-01,60
2017-02,55
2017-03,58
2017-04,58
2017-05,61
2017-06,63
2017-07,66
2017-08,66
2017-09,64
2017-10,67
2017-11,91
2017-12,98
2018-01,68
2018-02,64
2018-03,66
2018-04,63
2018-05,64
2018-06,64
2018-07,71
2018-08,67
2018-09,62
2018-10,65
2018-11,88
