Category: Shopping,
,
Month,amazon + ebay + walmart + etsy + target: (United States)
2004-01,26
2004-02,25
2004-03,27
2004-04,26
2004-05,27
2004-06,29
2004-07,30
2004-08,31
2004-09,29
2004-10,29
2004-11,35
2004-12,44
2005-01,31
2005-02,31
2005-03,32
2005-04,32
2005-05,35
2005-06,35
2005-07,37
2005-08,37
2005-09,34
2005-10,36
2005-11,47
2005-12,53
2006-01,37
2006-02,37
2006-03,37
2006-04,36
2006-05,38
2006-06,39
2006-07,42
2006-08,42
2006-09,41
2006-10,40
2006-11,51
2006-12,61
2007-01,42
2007-02,39
2007-03,38
2007-04,39
2007-05,39
2007-06,41
2007-07,42
2007-08,43
2007-09,41
2007-10,39
2007-11,54
2007-12,60
2008-01,39
2008-02,37
2008-03,38
2008-04,38
2008-05,39
2008-06,43
2008-07,42
2008-08,43
2008-09,40
2008-10,40
2008-11,55
2008-12,68
2009-01,45
2009-02,41
2009-03,40
2009-04,36
2009-05,37
2009-06,38
2009-07,38
2009-08,39
2009-09,36
2009-10,38
2009-11,55
2009-12,58
2010-01,36
2010-02,35
2010-03,34
2010-04,33
2010-05,35
2010-06,36
2010-07,36
2010-08,37
2010-09,39
2010-10,39
2010-11,61
2010-12,67
2011-01,50
2011-02,48
2011-03,46
2011-04,46
2011-05,48
2011-06,51
2011-07,52
2011-08,55
2011-09,53
2011-10,53
2011-11,85
2011-12,85
2012-01,59
2012-02,56
2012-03,55
2012-04,57
2012-05,56
2012-06,58
2012-07,61
2012-08,63
2012-09,60
2012-10,62
2012-11,93
2012-12,98
2013-01,66
2013-02,63
2013-03,64
2013-04,60
2013-05,66
2013-06,66
2013-07,66
2013-08,69
2013-09,64
2013-10,61
2013-11,93
2013-12,100
2014-01,63
2014-02,61
2014-03,62
2014-04,61
2014-05,60
2014-06,62
2014-07,63
2014-08,66
2014-09,63
2014-10,62
2014-11,98
2014-12,99
2015-01,63
2015-02,60
2015-03,60
2015-04,61
2015-05,60
2015-06,63
2015-07,69
2015-08,69
2015-09,64
2015-10,64
2015-11,94
2015-12,93
2016-01,56
2016-02,54
2016-03,55
2016-04,54
2016-05,56
2016-06,58
2016-07,63
2016-08,61
2016-09,56
2016-10,58
2016-11,89
2016-12,90
2017-01,58
2017-02,55
2017-03,58
2017-04,59
2017-05,62
2017-06,63
2017-07,67
2017-08,65
2017-09,61
2017-10,65
2017-11,93
2017-12,92
2018-01,60
2018-02,58
2018-03,59
2018-04,59
2018-05,59
2018-06,63
2018-07,67
2018-08,63
2018-09,59
2018-10,60
2018-11,96
2018-12,93
2019-01,64
